"customer_id","product_id","quantity","date","time"
319,20229,2,2023-10-25,"19:00:00"
957,75331,3,2023-08-08,"05:58:00"
459,97971,1,2023-09-09,"20:26:00"
608,57945,2,2023-09-12,"01:47:00"
976,34941,2,2023-08-16,"03:39:20"
750,93584,8,2023-05-18,"11:52:20"
155,81052,10,2023-09-01,"16:49:00"
284,95639,4,2023-04-09,"05:21:20"
633,35137,9,2023-08-21,"14:04:00"
223,35645,7,2023-10-22,"19:52:00"
782,49415,8,2023-08-02,"19:33:20"
141,74438,3,2023-05-15,"00:53:00"
815,19254,6,2023-10-11,"05:15:40"
782,66433,6,2023-09-22,"22:36:20"
231,23709,8,2023-05-21,"11:00:20"
223,39304,1,2023-04-30,"17:04:20"
202,37309,2,2023-06-26,"06:32:00"
349,60195,5,2023-10-13,"10:36:40"
988,50165,8,2023-10-14,"22:10:40"
521,21822,8,2023-06-06,"12:18:40"
717,87153,7,2023-09-07,"09:09:20"
590,85840,5,2023-10-08,"00:12:00"
816,68644,1,2023-03-21,"10:50:40"
69,94140,10,2023-06-19,"08:33:20"
602,31211,9,2023-08-02,"13:37:40"
205,14240,9,2023-07-10,"14:20:40"
846,29847,7,2023-10-31,"23:11:40"
456,23421,10,2023-08-06,"00:37:00"
583,44204,4,2023-07-18,"06:06:20"
995,93025,8,2023-10-08,"12:03:20"
827,75197,4,2023-08-28,"17:58:20"
832,75197,3,2023-09-11,"08:00:00"
557,19421,7,2023-06-05,"18:31:40"
825,53015,1,2023-09-28,"20:52:20"
558,85822,6,2023-04-03,"01:09:40"
589,28420,10,2023-04-03,"18:56:40"
638,64250,10,2023-07-19,"23:36:00"
953,94213,1,2023-07-12,"07:50:20"
629,25253,7,2023-06-25,"00:53:40"
941,94283,5,2023-07-24,"16:13:40"
494,13528,6,2023-09-18,"00:03:00"
978,41701,10,2023-10-27,"18:25:20"
404,97020,6,2023-09-15,"12:46:20"
992,90163,9,2023-09-06,"21:18:00"
116,87153,8,2023-11-14,"19:09:00"
171,59334,1,2023-08-08,"11:53:40"
968,96322,6,2023-08-10,"11:19:00"
879,66991,2,2023-08-15,"09:52:20"
904,75079,8,2023-03-19,"05:29:40"
143,85513,10,2023-05-19,"17:30:40"
353,71956,8,2023-03-20,"17:03:40"
277,27705,9,2023-10-13,"22:28:00"
178,97110,8,2023-09-09,"14:30:20"
361,83745,9,2023-05-17,"00:18:20"
748,63858,9,2023-06-23,"07:24:00"
849,99194,4,2023-07-09,"14:38:00"
493,35926,1,2023-09-21,"11:02:20"
880,75684,3,2023-10-18,"15:05:40"
698,80062,8,2023-09-14,"07:08:00"
573,34525,2,2023-04-04,"12:43:40"
545,83524,1,2023-09-15,"06:50:40"
317,84806,9,2023-11-05,"15:49:20"
757,82069,7,2023-05-17,"12:09:40"
919,42439,7,2023-06-29,"05:40:00"
454,66320,4,2023-05-08,"14:45:40"
337,70970,7,2023-03-25,"21:32:40"
284,60826,4,2023-05-03,"04:21:00"
102,32270,9,2023-09-05,"09:44:00"
132,11070,4,2023-06-16,"15:21:00"
266,84402,10,2023-06-07,"12:01:20"
925,83006,9,2023-10-28,"06:16:40"
175,19726,8,2023-10-11,"11:11:20"
471,35966,7,2023-07-15,"18:49:40"
514,96768,9,2023-07-25,"21:52:00"
732,58221,3,2023-08-15,"03:56:40"
903,51332,1,2023-08-09,"05:40:40"
850,72204,7,2023-05-16,"12:27:00"
41,50552,3,2023-05-04,"09:59:20"
1,73566,7,2023-04-23,"07:14:20"
267,22054,10,2023-04-20,"02:10:40"
456,94265,3,2023-05-27,"21:07:40"
370,29109,6,2023-10-17,"03:31:40"
526,73619,7,2023-05-07,"15:03:00"
8,48006,4,2023-11-15,"01:04:40"
264,38370,10,2023-10-29,"05:59:20"
711,97017,1,2023-06-18,"08:50:40"
191,86912,8,2023-11-01,"11:03:00"
63,80736,5,2023-09-24,"04:14:40"
690,80436,3,2023-04-27,"17:56:20"
904,70505,5,2023-04-10,"16:55:20"
329,29047,5,2023-10-15,"21:53:20"
166,96522,6,2023-11-03,"22:19:40"
317,99776,9,2023-11-12,"13:48:00"
944,37038,1,2023-11-03,"16:24:00"
699,50209,4,2023-08-28,"06:07:00"
362,85001,3,2023-07-08,"03:04:00"
549,41044,5,2023-04-22,"19:23:00"
56,52296,2,2023-06-06,"06:23:00"
381,19337,1,2023-09-10,"08:17:20"
52,35200,4,2023-07-06,"15:30:00"
73,32736,4,2023-06-02,"19:23:40"
128,10651,10,2023-09-03,"10:18:40"
131,51332,10,2023-10-23,"07:43:20"
34,46081,5,2023-03-23,"04:20:20"
99,88112,6,2023-11-02,"16:41:20"
769,52636,4,2023-08-25,"06:59:00"
635,58221,3,2023-06-20,"20:07:20"
936,92509,3,2023-08-02,"07:42:00"
442,93658,1,2023-04-08,"11:34:20"
131,97803,7,2023-10-23,"19:34:40"
96,25315,5,2023-09-27,"09:18:20"
774,97043,7,2023-05-25,"03:55:20"
104,38370,9,2023-05-07,"03:11:40"
719,55014,9,2023-06-09,"23:18:00"
