"product_id","product_name","quantity","price","supplier_id"
76982,"Fusefit Men's Regular Fashion Vest",382,999,39
82394,"FENTACIA Men Formal Derby Shoes",608,5999,41
84711,"Shaya by CaratLane Oxidised Rise Above Fear Ring in 925 sterling silver",762,1700,31
34525,"Swarn Unicorn Wired On Ear Headphone (Multicolour)",117,2200,79
79038,"AV2 Women's Satin Solid Knee Length Nighty with Robe",122,1799,35
92848,"BEAUTY BURST Plastic Gold Plated Shakha Pola Bangle Set for Women(TARZAN WHT)",605,999,54
28846,"Cera F1015251 Sink Cock With Long Swivel Spout And Wall Flange, Silver, Steel Finish",684,1870,36
72108,"Shrisay Enterprise 12x16(inch) Size D-Cut Pattern Cloth Bag, Shopping Bag, Carry Bag, Completely Eco-Friendly Bag, Handle ...",913,625,14
91872,"3M Battery Terminal Coat (150 g) | Rust & Corrosion Protection of Battery Terminals | Enhance Battery Life",959,1040,31
44760,"THE BLAZZE Men's Tank Top",358,999,76
25747,"Digitek Platinum Rechargeable Battery Pack for Hero 8 Black (DBG-8)",271,2495,84
17041,"ExclusiveLane Terracotta Home Decorative Bedside Table Lamp for Living Room Warli Handpainted Flat Matki Shaped Table Lamp...",128,2465,82
85151,"creeper Women's Large Capacity Shoulder Handbag",437,2000,63
75331,"HammerSmith Men's Casual Millennium Fit Shirt (HSCSM043_Beige 2 XL)",533,2499,77
45184,"Soulemo Women's Cotton, Rayon & Polyester Printed A- Line Maxi Nighty (Alpine) 901",717,1999,96
73398,"DOUBLE R BAGS Eco Reusable Print Jute Cloth Shopping Bags for Daily use Market Carry Milk Grocery Fruits Vegetable Organiz...",219,999,11
17980,"Lint Free Wipes for Cleaning Lens and Lab Instruments - Pack of 280",742,500,44
85331,"Baggit Women's Wallet - Small (Yellow)",279,790,12
89706,"Kalpit Creations Women's Jaipuri Rajasthani Silk Bandhani Bandhej Multi-Colored Heavy Dupatta With Gota Work And Latkans",458,999,12
37856,"TISTABENE Jaipuri Printed Full Sleeve Shirt for Men/Boy",429,899,84
24710,"Fastrack Analog Blue Dial Women's Watch-NL6111SL02/NP6111SL02",829,2295,45
25969,"Puma Unisex Adult Resolve Street Spark Black-Metallic Silver Walking Shoe-10 Kids UK (37622104)",656,4499,8
97043,"E-Image P6 Quick Release Adapter Camera Base Plate | for monopods, stabilizer, Gimbals, Tripods | Manfrotto Plate Compatib...",547,1825,28
42641,"KilTer By Life Like TWS Touch BT 5.0 1500 mAh Charging Box Ear Buds Wireless with Mic Headphones/Earphones Black",563,1999,79
72701,"Afreet Fashion Women's Cotton Printed Ankle Length Nighty(ANT_218, Multicolour, Free Size)",297,1299,68
54977,"Bounce Dryer Sheets (320 ct.) - (Original from Manufacturer - Bulk Discount Available)",623,5999,70
41478,"KOCCIDO Ear Plugs Soft Silica Gel Noise Reduction for Sleeping/Meditation/Swimming Adult/Child/Reusable for Travel - 5 Pai...",383,599,16
53994,"eshoppee Leather Look Wrist Bands for Men and Women Friendship Day Gift-Set of 4",38,399,80
13862,"RIVER Men's Regular Fit Casual Shirt",925,1999,45
29847,"Kuber Industries Wooden Simple Numerical Round Shaped Wall Clock for Home Décor Size 25 x 25 CM (Brown)",73,499,67
83198,"A Pioneer - Size 9 * 12 | Orgenza Potli Bags for Women | Batva for Woman | Royal Clutch Batwa Bag | Bridal Potli Bag | Ret...",630,599,17
97803,"Sansar Agro Garden King™ Npk For Mango Plant Growth (200 Gm), Essential Npk Fertilizer For Fast Growth And A Healthy Mango...",240,350,65
52274,"Naughty Kidz Baby Teething Toys, Soft and Natural Fruit Shape Teether Bpa Free/Natural/Organic/, Soft & Textured Teethers...",756,399,47
59545,"SOUL eTHICS Full Face Cover Mask for Dust, Sun Protection, Bike Rider and All Outdoor Activity (Black) (Plain Black)",147,699,39
