"supplier_id","supplier_name","contact_number","street_number","street_name","email"
1,"ABC Suppliers","7161401294",55,"Sunrise_Ave","abc@yahoo.com"
2,"XYZ Enterprises","7682811917",8,"Main_St","xyz@hotmail.com"
3,"PQR Inc.","7818023337",46,"Pine_St","pqr@hotmail.com"
4,"LMN Corporation","7120710261",85,"Pine_St","lmn@icloud.com"
5,"DEF Industries","7220886244",66,"Lakeview_Blvd","def@outlook.com"
6,"GHI Corporation","7888370189",77,"Pine_St","ghi@outlook.com"
7,"JKL Enterprises","7762679960",46,"Hilltop_Dr","jkl@hotmail.com"
8,"MNO Suppliers","7442099290",70,"Maple_St","mno@outlook.com"
9,"QRS Inc.","7334689370",72,"Elm_St","qrs@gmail.com"
10,"TUV Industries","7599306587",44,"Main_St","tuv@hotmail.com"
11,"VWX Suppliers","7603520648",32,"Main_St","vwx@yahoo.com"
12,"YZA Enterprises","7668775778",36,"Elm_St","yza@gmail.com"
13,"BCD Corporation","7189241369",45,"Main_St","bcd@icloud.com"
14,"EFG Inc.","7168175017",14,"Elm_St","efg@yahoo.com"
15,"HIJ Industries","7914941693",16,"Lakeview_Blvd","hij@hotmail.com"
16,"KLM Suppliers","7819121059",87,"Main_St","klm@outlook.com"
17,"NOP Enterprises","7105740880",33,"Oak_St","nop@icloud.com"
18,"RST Corporation","7036321126",40,"Elm_St","rst@icloud.com"
19,"UVW Inc.","7292830027",40,"Elm_St","uvw@outlook.com"
20,"WXY Industries","7613313055",10,"Pine_St","wxy@outlook.com"
21,"YZA Suppliers","7703159916",89,"Sunrise_Ave","yza@outlook.com"
22,"BCD Enterprises","7654713736",72,"Sunset Dr","bcd@gmail.com"
23,"EFG Corporation","7068606874",82,"Park_Ave","efg@yahoo.com"
24,"HIJ Inc.","7196833588",9,"Sunset Dr","hij@hotmail.com"
25,"KLM Industries","7210116404",7,"Sunset Dr","klm@yahoo.com"
26,"NOP Suppliers","7261764319",7,"Park_Ave","nop@yahoo.com"
27,"RST Enterprises","7547733720",58,"Oak_St","rst@yahoo.com"
28,"UVW Corporation","7622944220",61,"Maple_St","uvw@hotmail.com"
29,"WXY Inc.","7709105735",74,"Oak_St","wxy@hotmail.com"
30,"YZA Industries","7575358526",24,"Hilltop_Dr","yza@yahoo.com"
31,"BCD Suppliers","7277639889",63,"Oak_St","bcd@hotmail.com"
32,"EFG Enterprises","7258002936",54,"Elm_St","efg@outlook.com"
33,"HIJ Corporation","7190476440",23,"Hilltop_Dr","hij@yahoo.com"
34,"KLM Inc.","7019243284",26,"Oak_St","klm@hotmail.com"
35,"NOP Industries","7902692904",33,"Sunrise_Ave","nop@outlook.com"
36,"RST Suppliers","7967719001",57,"Hilltop_Dr","rst@gmail.com"
37,"UVW Enterprises","7557554910",29,"Sunrise_Ave","uvw@yahoo.com"
38,"WXY Corporation","7437197939",10,"Maple_St","wxy@hotmail.com"
39,"YZA Inc.","7720030151",53,"Elm_St","yza@gmail.com"
40,"BCD Industries","7441806677",54,"Park_Ave","bcd@gmail.com"
41,"EFG Suppliers","7586099920",77,"Sunset Dr","efg@hotmail.com"
42,"HIJ Enterprises","7561358641",11,"Sunrise_Ave","hij@hotmail.com"
43,"KLM Corporation","7401647649",25,"Hilltop_Dr","klm@icloud.com"
44,"NOP Inc.","7302198796",52,"Pine_St","nop@gmail.com"
45,"RST Industries","7138680309",26,"Main_St","rst@hotmail.com"
46,"UVW Suppliers","7931037938",7,"Oak_St","uvw@icloud.com"
47,"WXY Enterprises","7429413683",25,"Elm_St","wxy@yahoo.com"
48,"YZA Corporation","7706255830",87,"Pine_St","yza@outlook.com"
49,"BCD Inc.","7690103719",90,"Main_St","bcd@icloud.com"
50,"EFG Industries","7795823389",32,"Oak_St","efg@hotmail.com"
51,"HIJ Suppliers","7260829854",84,"Sunrise_Ave","hij@hotmail.com"
52,"KLM Enterprises","7947397741",24,"Elm_St","klm@gmail.com"
53,"NOP Corporation","7211678271",57,"Park_Ave","nop@yahoo.com"
54,"RST Inc.","7367159181",73,"Oak_St","rst@yahoo.com"
55,"UVW Industries","7635195871",23,"Oak_St","uvw@yahoo.com"
56,"WXY Suppliers","7247871554",14,"Sunrise_Ave","wxy@icloud.com"
57,"YZA Enterprises","7513211381",6,"Elm_St","yza@outlook.com"
58,"BCD Corporation","7662247246",91,"Main_St","bcd@icloud.com"
59,"EFG Inc.","7609530020",1,"Park_Ave","efg@outlook.com"
60,"HIJ Industries","7512222258",90,"Sunset Dr","hij@gmail.com"
61,"KLM Suppliers","7743029937",58,"Lakeview_Blvd","klm@hotmail.com"
62,"NOP Enterprises","7090810603",81,"Sunset Dr","nop@outlook.com"
63,"RST Corporation","7308398409",29,"Sunset Dr","rst@outlook.com"
64,"UVW Inc.","7987066494",26,"Maple_St","uvw@yahoo.com"
65,"WXY Industries","7264988883",27,"Park_Ave","wxy@icloud.com"
66,"YZA Suppliers","7044904208",85,"Maple_St","yza@gmail.com"
67,"BCD Enterprises","7398277421",7,"Maple_St","bcd@yahoo.com"
68,"EFG Corporation","7418545501",60,"Sunrise_Ave","efg@yahoo.com"
69,"HIJ Inc.","7592330519",26,"Lakeview_Blvd","hij@outlook.com"
70,"KLM Industries","7477127638",41,"Hilltop_Dr","klm@icloud.com"
71,"NOP Suppliers","7308950918",84,"Sunset Dr","nop@gmail.com"
72,"RST Enterprises","7836515790",6,"Main_St","rst@hotmail.com"
73,"UVW Corporation","7009853593",94,"Elm_St","uvw@hotmail.com"
74,"WXY Inc.","7644177901",31,"Lakeview_Blvd","wxy@gmail.com"
75,"YZA Industries","7452888735",93,"Oak_St","yza@yahoo.com"
76,"BCD Suppliers","7698958852",17,"Sunset Dr","bcd@hotmail.com"
77,"EFG Enterprises","7558182159",64,"Hilltop_Dr","efg@hotmail.com"
78,"HIJ Corporation","7488095519",37,"Main_St","hij@gmail.com"
79,"KLM Inc.","7722771510",57,"Elm_St","klm@icloud.com"
80,"NOP Industries","7524978083",20,"Oak_St","nop@yahoo.com"
81,"RST Suppliers","7535532781",35,"Oak_St","rst@hotmail.com"
82,"UVW Enterprises","7385568764",89,"Park_Ave","uvw@outlook.com"
83,"WXY Corporation","7894583768",33,"Sunset Dr","wxy@yahoo.com"
84,"YZA Inc.","7405175093",66,"Pine_St","yza@outlook.com"
85,"BCD Industries","7064589960",4,"Maple_St","bcd@yahoo.com"
86,"EFG Suppliers","7700901089",74,"Elm_St","efg@yahoo.com"
87,"HIJ Enterprises","7103764556",97,"Main_St","hij@gmail.com"
88,"KLM Corporation","7804484974",5,"Main_St","klm@icloud.com"
89,"NOP Inc.","7673622211",25,"Pine_St","nop@hotmail.com"
90,"RST Industries","7654348967",8,"Elm_St","rst@hotmail.com"
91,"UVW Suppliers","7435389400",55,"Elm_St","uvw@icloud.com"
92,"WXY Enterprises","7655352151",89,"Oak_St","wxy@yahoo.com"
93,"YZA Corporation","7490031562",85,"Pine_St","yza@outlook.com"
94,"BCD Inc.","7732900371",45,"Park_Ave","bcd@hotmail.com"
95,"EFG Industries","7996622530",18,"Sunset Dr","efg@icloud.com"
96,"HIJ Suppliers","7928820387",42,"Oak_St","hij@outlook.com"
97,"KLM Enterprises","7204714859",31,"Oak_St","klm@yahoo.com"
98,"NOP Corporation","7437610672",6,"Main_St","nop@yahoo.com"
99,"RST Inc.","7304737082",71,"Lakeview_Blvd","rst@gmail.com"
100,"UVW Industries","7139720202",61,"Main_St","uvw@yahoo.com"
