"category_id","product_id","category_name"
7404,76982,"Innerwear"
7000,82394,"Formal Shoes"
6808,84711,"Fashion & Silver Jewellery"
8011,34525,"Headphones"
7134,79038,"Lingerie & Nightwear"
8931,92848,"Fashion & Silver Jewellery"
6163,28846,"Janitorial & Sanitation Supplies"
8188,72108,"Bags & Luggage"
8701,91872,"Car & Bike Care"
5095,44760,"T-shirts & Polos"
7869,25747,"Cameras"
5820,17041,"Indoor Lighting"
8602,85151,"Handbags & Clutches"
8388,75331,"Shirts"
6305,45184,"Clothing"
8463,73398,"Bags & Luggage"
6849,17980,"Lab & Scientific"
7958,85331,"Handbags & Clutches"
5728,89706,"Clothing"
9108,37856,"Shirts"
7538,24710,"Kids' Watches"
9845,25969,"Sports Shoes"
8300,97043,"Camera Accessories"
6054,42641,"Headphones"
6047,72701,"Lingerie & Nightwear"
8296,54977,"Household Supplies"
9961,41478,"Bags & Luggage"
5931,53994,"Jewellery"
5186,13862,"Shirts"
9005,29847,"All Home & Kitchen"
5602,83198,"Bags & Luggage"
9987,97803,"Garden & Outdoors"
9114,52274,"Nursing & Feeding"
7080,59545,"All Car & Motorbike Products"
9977,64173,"Headphones"
5803,34430,"Speakers"
6481,16033,"Casual Shoes"
8214,67601,"T-shirts & Polos"
5739,78864,"Ethnic Wear"
7777,50039,"Ethnic Wear"
9909,32567,"Fashion & Silver Jewellery"
8194,69936,"Kitchen & Home Appliances"
6723,31239,"Women's Fashion"
5071,80317,"Western Wear"
7857,25294,"Heating & Cooling Appliances"
7755,74073,"Amazon Fashion"
7858,91547,"Handbags & Clutches"
5102,81163,"Shirts"
6447,74438,"Clothing"
5222,28105,"Women's Fashion"
9580,66328,"T-shirts & Polos"
5473,84432,"Heating & Cooling Appliances"
9979,70633,"Lingerie & Nightwear"
9371,58458,"Kitchen & Home Appliances"
8784,91830,"Handbags & Clutches"
6972,91301,"Ethnic Wear"
8179,29442,"Home Entertainment Systems"
8082,96322,"Lingerie & Nightwear"
9656,83006,"Bags & Luggage"
8585,74187,"Lingerie & Nightwear"
7076,95838,"T-shirts & Polos"
9310,55106,"Men's Fashion"
5676,95710,"Fashion & Silver Jewellery"
7483,91668,"Personal Care Appliances"
5133,61430,"Bags & Luggage"
7750,68527,"T-shirts & Polos"
9406,92509,"Fashion & Silver Jewellery"
7978,15029,"Sports Shoes"
6267,31211,"Western Wear"
8098,64250,"Men's Fashion"
5315,25082,"T-shirts & Polos"
8155,51628,"T-shirts & Polos"
6877,22054,"Cameras"
5614,33302,"All Electronics"
5178,41701,"Clothing"
6629,27705,"Travel Accessories"
8495,77229,"Fashion & Silver Jewellery"
5421,49061,"Men's Fashion"
6185,46331,"Clothing"
5017,96016,"Bags & Luggage"
8669,66320,"School Bags"
7406,10577,"Gold & Diamond Jewellery"
7284,66991,"Televisions"
8911,12462,"Sports Shoes"
